36.417,33.185,51.641,38.597,19.576,37.257,36.458,47.224,24.799,25.508,37.547,23.923,8.560,23.691,24.281,27.997,17.263,17.433,26.822,13.619,2.527,12.693,15.200,19.914,12.758,15.012,22.805,9.358,-3.281,5.728,8.821,10.976,9.970,13.901,16.802,2.008,-6.105,1.328,8.140,8.304,11.400,15.695,16.225,9.043,-2.945,7.368,12.194,12.082,21.864,23.571,26.662,22.348,-0.271,19.260,20.917,22.628,37.544,24.538,15.684,10.272,6.794,10.133,19.622,50.693,33.242,22.581,16.924,12.375,14.236,22.360
36.464,33.253,51.631,38.864,19.492,38.853,37.281,48.398,24.714,27.044,38.380,23.772,7.799,24.264,24.644,29.426,17.142,19.411,26.827,13.569,2.814,13.319,16.568,20.447,12.756,14.961,23.272,9.205,-3.348,6.200,11.538,11.899,9.810,14.225,17.139,1.964,-6.095,2.043,9.834,9.083,11.404,20.278,16.681,9.072,-2.877,7.971,16.804,14.307,21.869,25.087,26.700,22.345,-0.327,19.246,22.990,22.742,38.029,25.005,16.262,10.811,7.250,11.705,20.082,51.496,34.506,23.422,17.658,13.043,17.763,24.742
36.553,33.772,51.641,38.980,19.674,39.631,37.925,48.807,25.393,27.864,39.279,23.856,7.501,24.887,24.923,30.757,17.042,24.359,27.192,14.815,2.891,14.148,19.449,21.645,12.914,17.771,23.450,9.644,-3.318,7.984,13.995,14.818,9.785,15.317,17.134,3.720,-6.079,4.886,10.779,11.060,11.838,22.643,18.009,10.205,-3.002,8.349,17.806,14.400,21.877,25.280,26.738,22.386,-0.292,19.272,23.215,22.808,38.373,25.558,17.693,12.157,8.325,12.531,20.161,52.101,35.865,25.678,19.230,13.935,19.218,24.970
37.006,34.216,51.634,39.091,19.897,39.860,38.231,48.853,26.090,31.764,41.481,24.724,7.645,24.938,25.836,31.253,17.093,26.399,27.274,15.967,2.587,15.114,21.524,23.022,13.396,21.039,23.496,10.925,-3.164,10.244,15.997,17.219,10.140,16.826,17.188,5.140,-6.157,6.031,10.757,11.805,11.953,22.927,18.617,11.156,-3.118,9.176,17.984,14.862,21.881,25.285,26.777,22.428,-0.291,19.320,23.418,22.890,38.599,26.716,18.622,13.644,8.966,12.945,20.213,52.407,37.963,27.059,20.955,14.585,19.701,25.096
38.018,34.321,51.886,39.268,19.970,39.870,38.256,48.908,26.291,32.521,42.103,24.883,7.697,24.950,26.409,31.780,17.212,27.455,27.313,17.014,2.227,16.666,22.753,25.400,13.762,22.983,23.524,12.065,-3.097,11.589,17.176,18.093,10.687,18.584,17.472,6.193,-6.439,6.468,10.701,12.490,12.071,22.931,18.682,11.592,-3.135,9.722,18.225,15.177,21.920,25.303,26.818,22.463,-0.297,19.361,23.427,22.950,38.812,27.079,19.505,14.512,9.520,13.158,20.243,52.724,38.579,28.232,22.011,15.336,19.981,25.122
39.223,35.586,53.110,39.560,19.848,40.042,38.417,49.245,26.764,33.053,42.129,25.029,7.763,25.008,26.572,32.305,18.073,28.399,27.956,19.354,2.000,18.754,23.771,27.140,13.989,24.028,23.897,12.726,-3.077,12.134,17.372,18.517,12.055,19.577,17.983,8.120,-6.964,6.810,10.928,12.991,12.117,22.954,18.835,11.976,-3.121,10.494,18.347,15.635,21.937,25.311,26.834,22.476,-0.141,19.381,23.440,22.986,39.379,27.328,20.681,14.948,10.187,13.405,20.278,53.724,38.908,29.311,22.600,16.192,20.203,25.176
40.424,38.141,55.387,40.214,19.679,40.369,38.792,49.815,26.890,33.191,42.147,25.960,7.807,26.005,28.333,32.505,19.063,28.883,28.538,20.885,1.727,19.801,24.528,27.937,14.704,24.639,24.640,13.989,-2.992,12.918,17.366,19.147,13.069,19.865,18.443,10.371,-7.459,8.570,12.109,14.162,12.043,23.009,19.311,12.446,-3.263,11.031,18.391,16.115,21.946,25.320,26.837,22.490,0.145,19.404,23.454,22.994,40.353,27.855,21.420,15.551,11.141,13.635,20.324,55.342,39.413,30.087,23.200,17.078,20.471,25.201
41.389,40.375,57.848,41.249,19.593,40.574,39.005,50.302,26.952,33.189,42.182,26.171,7.768,26.505,28.989,33.549,19.732,29.057,29.365,21.720,1.631,20.656,25.222,28.574,15.674,24.947,25.346,15.542,-2.873,13.917,17.524,20.129,13.737,20.029,19.020,12.033,-7.550,10.624,13.445,15.539,12.064,23.029,19.455,12.645,-3.155,11.294,18.444,16.264,21.966,25.337,26.839,22.511,0.558,19.429,23.480,22.997,41.292,28.163,21.995,16.276,12.110,13.755,20.390,56.851,39.825,30.641,23.812,18.032,20.547,25.239
41.930,41.520,59.828,42.212,19.599,40.614,38.998,50.533,27.420,33.439,42.276,27.628,7.707,26.909,29.185,33.822,20.000,29.115,29.495,22.096,1.594,21.060,25.671,28.816,16.671,25.295,26.070,17.226,-2.788,15.093,17.718,21.267,14.352,20.090,19.424,13.339,-6.748,11.906,14.792,16.526,12.058,23.166,19.458,12.623,-3.282,11.489,19.428,16.469,21.991,25.407,26.846,22.533,0.575,19.457,23.865,23.035,41.904,28.548,22.231,17.069,12.960,13.926,20.464,57.862,40.235,30.834,24.555,18.659,20.864,25.425
42.066,41.744,61.134,42.618,19.646,40.661,38.960,50.637,27.739,33.622,42.626,29.514,7.694,29.230,31.137,35.460,20.151,29.113,29.650,22.549,1.492,22.137,26.738,29.531,17.466,25.710,26.520,18.156,-2.740,15.432,17.784,21.600,14.640,20.324,19.868,14.425,-6.065,13.369,16.047,17.882,11.902,23.431,19.579,12.594,-3.496,11.500,20.080,16.469,21.993,25.434,26.855,22.536,0.207,19.451,23.940,23.065,42.183,29.628,22.670,17.491,13.811,14.008,20.435,58.412,41.195,31.320,25.058,19.390,21.108,25.481
42.082,41.828,61.803,42.655,19.687,41.225,39.551,50.865,27.696,33.642,42.936,30.084,7.682,31.169,33.425,37.988,20.235,29.125,29.568,22.739,1.486,22.709,27.435,29.930,18.331,26.046,26.898,18.739,-2.648,15.698,17.950,21.865,14.616,20.798,20.159,14.806,-5.570,14.002,16.554,18.522,11.840,23.502,19.646,12.603,-3.526,12.208,20.321,16.539,22.006,25.441,26.857,22.533,-0.234,19.894,24.056,23.087,42.462,30.578,22.903,17.860,14.236,14.142,20.455,58.788,42.463,31.640,25.492,19.952,21.413,25.794
42.419,42.518,62.017,43.199,19.690,43.260,41.567,51.519,27.460,33.750,42.922,30.371,7.766,31.499,33.920,38.257,20.697,29.163,29.558,22.923,1.536,23.171,28.362,30.223,19.205,26.279,27.153,19.107,-2.508,17.992,18.590,22.140,14.495,21.022,20.281,15.020,-5.370,16.245,18.420,18.822,12.219,23.519,19.574,12.633,-3.700,20.469,22.856,16.533,22.091,25.443,26.865,22.554,-0.041,22.860,25.241,23.202,43.274,30.743,23.204,18.495,14.867,15.513,21.027,59.421,42.827,32.120,26.419,21.381,23.937,27.429
43.089,43.622,62.033,44.381,19.695,45.913,43.963,52.568,27.756,33.781,42.873,31.251,7.785,32.551,34.882,39.061,21.282,29.171,29.563,23.123,1.666,24.711,29.880,30.381,20.026,26.463,27.336,19.375,-2.426,21.665,20.617,22.572,14.491,21.146,20.340,15.088,-5.259,18.722,20.212,18.989,12.675,23.518,19.502,12.819,-3.675,22.807,24.058,16.514,22.113,25.453,26.867,22.562,-0.046,23.130,25.397,23.290,44.408,31.242,23.722,19.454,15.466,16.027,21.096,60.298,43.378,33.137,27.756,22.563,24.834,27.621
43.761,44.552,62.094,45.522,19.768,47.643,45.901,53.522,27.557,33.776,42.889,31.359,7.780,35.084,34.922,39.831,21.585,29.173,29.591,23.218,1.715,25.750,30.936,30.512,20.554,26.598,27.430,19.529,-2.403,23.698,22.149,22.840,14.802,21.138,20.366,15.127,-5.245,21.048,21.871,19.086,12.812,23.606,19.361,12.840,-3.555,23.086,24.199,16.478,22.115,25.499,26.856,22.549,-0.048,23.198,25.408,23.295,45.346,31.650,24.060,20.050,16.024,16.103,21.109,61.027,44.080,33.734,28.580,23.634,25.006,27.684
44.230,45.066,62.307,46.292,19.946,48.377,47.089,54.073,27.421,33.763,42.847,31.308,7.781,35.415,34.931,39.907,21.725,29.172,29.691,23.239,1.501,26.368,31.262,30.540,20.763,26.695,27.414,19.611,-2.300,24.661,22.997,23.026,15.083,21.123,20.298,15.129,-5.255,21.842,22.426,19.173,13.038,23.651,19.158,12.559,-3.537,23.085,24.188,16.616,21.230,24.892,25.624,21.449,-0.010,22.780,25.119,22.227,45.923,31.672,24.187,20.359,16.227,16.095,20.414,61.495,44.174,33.999,28.982,24.041,25.091,27.080
44.540,45.241,62.651,46.738,20.268,48.542,47.618,54.269,27.749,33.765,42.922,31.456,7.827,35.893,34.971,40.019,21.868,29.172,29.742,23.282,1.143,26.829,31.470,30.535,20.859,26.744,27.362,19.670,-2.081,25.116,23.375,23.158,15.382,21.145,20.254,15.131,-5.565,22.292,22.801,19.283,12.660,23.614,18.908,12.351,-3.820,23.099,24.179,17.011,17.849,23.348,22.154,17.946,-0.633,21.836,24.431,19.533,46.233,31.826,24.255,20.525,16.340,16.000,18.308,61.820,44.383,34.186,29.155,24.328,25.095,25.464
44.791,45.269,63.082,46.965,20.680,48.552,47.737,54.296,28.080,33.806,43.133,31.482,7.816,36.122,34.969,40.104,21.985,29.166,29.666,23.368,0.707,26.906,31.645,30.573,20.922,26.746,27.345,19.728,-2.000,25.268,23.577,23.241,15.465,21.149,20.232,15.121,-5.920,22.453,22.920,19.303,12.595,23.436,18.966,12.235,-3.932,23.110,24.145,17.215,17.102,22.804,21.343,17.030,-0.600,21.659,24.257,19.055,46.422,31.939,24.252,20.603,16.340,15.971,17.831,62.112,44.535,34.240,29.219,24.402,25.075,25.093
45.013,45.262,63.559,47.000,21.073,48.693,47.756,54.308,28.078,33.885,43.153,31.575,7.882,36.284,34.951,40.203,22.151,29.168,29.726,23.337,0.184,26.908,31.687,30.555,21.007,26.738,27.371,19.791,-2.119,25.315,23.654,23.242,15.648,21.133,20.306,15.121,-6.065,22.490,22.938,19.308,12.546,23.386,18.977,12.229,-4.218,23.109,24.137,17.230,16.534,22.786,20.776,16.520,-0.643,21.577,24.213,18.656,46.583,32.001,24.214,20.625,16.360,15.925,17.552,62.459,44.660,34.284,29.231,24.452,25.055,24.899
45.254,45.224,64.044,46.890,21.367,49.132,47.949,54.459,27.917,33.896,43.154,31.584,7.877,36.524,34.949,40.435,22.497,29.190,29.862,23.372,-0.618,26.903,31.698,30.609,21.132,26.740,27.441,19.822,-2.337,25.326,23.679,23.225,15.716,21.074,20.343,15.125,-6.066,22.501,22.927,19.303,12.642,23.395,19.031,12.146,-4.124,23.106,24.140,17.218,15.848,22.478,19.827,15.593,-0.830,21.453,24.118,18.192,46.790,32.042,24.189,20.629,16.365,15.944,17.085,62.970,44.769,34.366,29.251,24.455,25.073,24.555
